question,answer,followUp,Grammar,Relevance
Why should you be hired from outside when someone could be promoted within the same organisation?,I am applying as a fresher. So I don't think there is anyone with the same skill set who is below me in the organization.,do you think this is a good skill set?,3,3
What was the toughest decision you ever had to make?  ,My toughest decision was to choose a college after my board exams.,what was your toughest decision at your time ?,3,2
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",Are there any progress check meetings assured that the progress meetings are going to get fine ,2,3
Have you ever had to sell an idea to your co-workers? How did you do it?,"The biggest problem with our species is that rationality takes a back seat when emotions come into the picture. Emotions, I'd say, are our greatest strength and weakness. The thing that binds us together and makes us empathetic, is the same thing that makes us gullible and drives us to make irrational decisions. 
Back in the my undergraduate days, we had to raise funds for our college tech fest. It was decided that we would go from shop to shop in one of the busiest lanes of the commercial street to amass money for our technical fest. We soon found that people were neither motivated nor inclined to donate money for our cause. It was a tough and necessary realisation. We went back to our drawing boards. We had to come up with a plan. We had to identify with the people, connect with them, conjure up in their minds ideas and images that would aid our cause. School, education and children. These words conjured up old forgotten memories in the young guys and thoughts of grandchildren in the old men(They were our target demographic. The typical shop-owner, between the age of 35 - 60). And that is when the appeal of emotions struck us. As part of the events that were planned, we included a state level quiz for school students. This would later turn out to be our silver bullet. 
From then on out, we approached prospective benefactors not with a view to support our tech fest, but with a plea to help us host the state level Quiz, which in turn was part of the whole fest. The response was beyond what we had expected. People were more than willing to donate and even sponsor the event and the tech fest when we talked about school children and education. 
Appeals to emotion seldom go unanswered. ",what was the purpose of the tech fest ?,3,2
"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.",what is the name of the sanskriti club ?,3,1
How much do you value time at work?,"Time is very valuable and I have learned it the hard way. Concentration, speed and continuity along with timely execution of plans are essential to success.",what is essential to success ?,1,1
Why shouldn't I hire you?,I am very good working alone but sometimes not so good working in teams. But i am trying to pick that up. My 2 yr work experience has taught me a lot.,"in teams , what is the main difference between teams ?",2,2
What strategies would you use to motivate your team?,"When working in a team I would generally divide the question into parts and will try to know different approaches for finding a solution or an approach to find a solution by asking other members to know and research on each part. After that, I will ask people for inputs on each part of the question and discuss various ideas provided by them and would go for the best possible solution. I would then join all the parts together with my team such that nothing is left out and getting the solution to the given problem.",what would generally divide the question into parts ?,3,1
Describe a time when your workload was heavy and how you handled it.,"The workload during my Second Semester and Summer Vacations 2016 was pretty much heavy. However, I like to be busy nowadays. So I do not think a workload is a pressure, but the means to go forward and learn new things. However, we need to manage the workload due to a daily routine. Time management is the necessary step here. And also, I have this tendency to finish up the work of my interest quickly so as to not mess up the work and team progress.",when do we need to manage the workload ?,3,2
What are your views about further studies?,"I am pursuing M.Tech. I opted for this because I felt the need to fill in the technical gaps, to understand how an Industry works and what Industry expects from graduated like myself. As now I feel my requirements are met. I don't have any motivation for studying further, as of now. In future, may be.",what did you do to the industry ?,3,3
Explain how would you be an asset to this organisation?,I would be an asset as I will put in my best effort. I will do the share of work allocated to me efficiently. I will try to create a friendly environment within the organization.  ,what did you think you would be an asset as ?,3,1
Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.,"The last project I did was to implement a IP asset management portal for my Institute. During the course of our project, we had to deal with a lot of changes from the customer side. Some of the request required the complete redesign of the software architecture. But our team was able to incorporate all of the changes, with a lot of hard work and a lot of sleepless nights",what was the last project ?,1,1
What do people most often criticize about you?,"Well, most people often criticize me that I go overboard if I feel something is wrong. Also I am not good at keeping secrets and might sometimes comment without thinking. but they fail to understand that I do so because it comes straight from my heart and never hide anything. They often tell me to have some faith and self confidence as I have a lot of stage fear and that I am afraid of responsibilities but with the same hardwork and command can be a good leader.",what is an example of an example of a wrong ?,1,2
What are your views about further studies?,I am not interested in further studies. I like doing projects and therefore i like to do a job. I have done Masters so i know how to tackle problems. I would like to work in the industry rather than going for further studies.,how do you tackle the problems,3,3
What do people most often criticize about you?,"People often criticize me about my presence of mind and humor. I guess these two will make our day to day work much easier and better. People also trust me for the challenges I take to complete the assigned work. I was my teams favorite when I used to work in my previous company, you can refer to my linkedIn recommendations as proof of concept :). ",is it good for presence of mind,2,2
How would you be an asset to this organisation?  ,"I might be an asset because I put in my best to any work I take up. I am not shy of speaking my mind when necessary take it well when any positive criticism is directed at me. I would not say that I know everything and I am always keen to learn more. I think this job will help me to learn more and therefore, I am looking forward to it. ",Does it have positive criticism,3,3
Describe a difficult work situation / project and how you overcame it.,"It was a project where the estimations of efforts and analysis of change done by the person was wrong and I was incharge of development of that product.  I found out a way to convince my onsite counter part to buy a small amount of time as much as he can, and pallnned to break down the problems in small deliverables which would be given to client one by one. So that we will get more time to develop and the deliverables also doesn't get delayed. Because even if the requirement is delivered at once, tester will verify one by one so why not deliver in pieces. Was awarded by my leads for handling this.    ",what was wrong and you was wrong ?,1,1
"If you have problems at your workplace, how and to whom would you communicate it?","If I am having some problem at my workplace i will first communicate with my team lead, and then i will communicate to HR manager.",what is your first goal ?,3,1
Why shouldn't I hire you?,I am very good working alone but sometimes not so good working in teams. But i am trying to pick that up. My 2 yr work experience has taught me a lot.,"in teams , what is the main difference between teams ?",2,1
Why shouldn't I hire you?,"My commitment can be a pain sometimes. I have worked throughout the night multiple times to get my deliverable complated. In such cases, i might bug everyone related to the product / system. ",how long have you worked to get your deliverable ?,3,2
Describe a decision you made that was a failure. What happened and why?,"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.",what did we do in our college college ?,2,1
"If you have problems at your workplace, how and to whom would you communicate it?","I first try to figure out what the actual problem is. Then if I think there is something wrong with me.Then I try not doing some things that will repeat the same problem. 

If I have problem with my colleagues then I try to sort it out by taking them to a picnic kind of things to get their misunderstandings out.

If all above doesnot work then I will go to my team leader and then report the issue that there is something seriously wrong and I am unable to figure out what it is . ",what is one of the reasons for doesnot ?,1,1
What strategies would you use to motivate your team?,By giving them rewards and recognition and by working with them.,how did you view recognition ?,3,2
Do you consider yourself successful? Why?,"Yes, i am a hard working person and i like to learn and lot for my personal growth",Is this good for a hard working person?,3,3
How would you be an asset to this organisation?  ,"My area of research is perfectly aligned with the job description and hence with me, comes my 2 years of research that will bring quality to the kind of work that is being done in the organization. Also i have been to industry for 3 years so i know how things work at an organization level,  so we need not waste time on getting me on board and doing ramp up sessions to get used to of working ethics. ",have been used for what for 3 years ?,2,3
How do you kill your time when you are not working?,I like to read novels and watch some movies. I hang out with friends and talk to people. I like to talk to random people who I know but dont really talk to them.,what type of movies do you perform ?,2,2
What do you do if you disagree with your boss?,"To disagree is natural and healthy, I believe. We would hardly progress if everyone just agreed with each other and remained passive. But there is a polite, non confrontational way to go about voicing your disagreement. If I had a disagreement with my boss, I would voice it. The manner in which I'd voice is albeit respectful would vary a little depending on the personality of my boss. If he/she were an open, friendly, approachable boss, I would be a little more frank and specific about my disagreement and maybe go so far as to offer alternatives and suggestions. If the boss is a little more reserved and less open to suggestions, I would subtly make my opinion known and take it forward based on the reaction.",what is non confrontational way ?,3,2
How would you convince your client with your ideas?,I would describe my idea and explain him the novelty of the idea. I would request one day and make a presentation of how to implement this idea and how can the organization can be achieved from it. I would explain him the feasibility.,what did you believe can be done from it ?,2,3
What is the biggest challenge you have faced so far?,Mainitaining good worklife  balance has always been an issue for me,what has been an issue for me mainitaining ?,1,2
How do you define success and how do you measure upto your own definition? ,Success according to me is that you started something which you are scared of and you completed properly. According to me I've started and completed many things properly so I'm stand at reasonable level at my definition.,Has anyone started started properly with this at reasonable level?,1,2
How would you convince your client with your ideas?,I would describe my idea and explain him the novelty of the idea. I would request one day and make a presentation of how to implement this idea and how can the organization can be achieved from it. I would explain him the feasibility.,what did you believe can be done from it ?,3,1
How will you perform under pressure? Will it affect your performance?,"Yes, it will definitely affect me when I am under pressure. But from the experiences from my life I am sure that instead of  worrying all the time I will start working on the cause of the problem and then make a list of things that has to be done to rectify things, and start working on it. I will not perform as efficiently as I used to but if I see things improving that could lead to me working efficiently as progress is always motivating.",what did you do to rectify the time ?,3,2
do you have problem working on shifts or late nights ?,There might be small problem if the shift is continuous throughout like from 9-9 or night 9 to early morning. if it is just for a month then I don't have a problem but if you continuously change the shift then my productivity will decrease.,Is there a problem with the productivity if you continuously change the shift and productivity,1,3
In what ways are you an organised or disorganised person?,"I would consider or rather i would prefer an organised lifestyle. I keep my things clean and in proper organised place, which helps me in finding my things easily. I also plan my week using a weekly planner and try my best to achieve my weekly goals by following it. these are two examples to say that i am an organised person.

But life is not sunshine and rainbows as Sylvester Stallone says! I do procrastinate sometimes, go off the schedule and relax more. There are days where i missed my breakfast and slept for nearly 10 hours, which could be a possible example to say that i am a disorganised person sometimes.

Overall, i will consider myself as an organised person!!",Would you prefer this to an organised or would you consider it too babyish?,3,3
What are your views about further studies?,"I believe that whether this option should be pursued depends on the person and what they wish to achieve in their life. As for me, I want to know about more and more about things which I find interesting. I also think that I would love the interactions and intellectual stimulation that only an academic place can provide. I will definitely take up such an option if I get the chance.  ",What is the difference between academic and intellectual,3,3
What strategies would you use to motivate your team?,"When working in a team I would generally divide the question into parts and will try to know different approaches for finding a solution or an approach to find a solution by asking other members to know and research on each part. After that, I will ask people for inputs on each part of the question and discuss various ideas provided by them and would go for the best possible solution. I would then join all the parts together with my team such that nothing is left out and getting the solution to the given problem.",what would generally divide the question into parts ?,1,1
What matters to you more - job satisfaction or salary?,"As far as I am concerned, job satisfaction is more important. I don't think a huge salary alone can keep one satisfied with one's job. If we don't enjoy what we are doing then there is no point in doing what we do and there's no justice done to the work either. ",do you think this would keep one satisfied with one salary,3,1
What do people most often criticize about you?,"Well, most people often criticize me that I go overboard if I feel something is wrong. Also I am not good at keeping secrets and might sometimes comment without thinking. but they fail to understand that I do so because it comes straight from my heart and never hide anything. They often tell me to have some faith and self confidence as I have a lot of stage fear and that I am afraid of responsibilities but with the same hardwork and command can be a good leader.",what is an example of an example of a wrong ?,1,2
Do you consider yourself successful? Why?,"Yes I consider myself a successful person. I believe success is not just achieving. The success of a person lies in the way the life is oriented. More than that, if you are a person of high character, who can see others through you, there lies the success of a person. Also the physical aspects add to th",is it good for a successful person,2,2
When was the last time you thought outside the box and how did you do it? Why?,"About a few months back, I along with 3 other batch mates attended a hackathon organised by Mercedes Benz. According to the problem statement of the hackathon we were supposed to build something for the car of the future. So, as was the case with all other teams, the first thought that came to our mind was self driving cars. Most of the teams started implementing their ideas of self-driving cars, but all in vain because lets face it building a self-driving car in 24 hours is next to impossible. At that moment, I parted myself from the traditional way of thinking about innovations and came up with an idea which will enhance the experience of the driver. I came up with the idea of sentiment analysis of the passengers in the car and thought of changing the inside atmosphere of the car based on the current overall mood of the passengers. This worked well and the judges liked our idea and asked to add more feature to enhance the in-car direr experience over the next couple of months.  ",what was the main reason for your work ?,3,3
How did you handle meeting a tight deadline?,"While i was working in TCS, i am fresher and though my first task was to finish a work in 2 days. I just got trained to work using that tool.Now they are asking to finish a task that goes to production. I freaked out when i was assigned to this task and the first thing i did was to ask my team lead if there is a possibility for deadline extension and the answer was 'No'. That moment i took it as a challenge and started working on it and did overtime also and to my surprise i was able to meet the deadline. From then i decided to replace the word deadline with challenge.",what did tcs do in tcs ?,3,1
What are your views about further studies?,Further studies is necessary for anyone who is interested in getting the in-depth knowledge of his field of interest.,what is the depth of interest in interest,2,2
What can you do better for us than the other candidates for the job?,"My friends and teachers told me that I am very good in exploring new things to solve a problem, and that part is very useful when we stuck with some problem, and we need out of the box thinking.",what did you claim me very good about ?,2,2
Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",what is one of the assurances assurances ?,1,1
When was the last time you thought outside the box and how did you do it? Why?,"As much I can recall, when I started learning guitar. I had joined under an instructor who would call me for 1 hour session once a week and teach me how to hit strings and all that basic stuff. I knew to master anything you would need to climb all the stairs one-through-all. But I was not ready to accept the fact that I actually had to put in a whole year of effort to just learn the basics. So I thought , things can be learned on the go too, by acting and not basically having a pre-planned road-map. And then, I started off with youtube and online resources and learned my way to hit chord for some songs on my own. Less than an year, and I started playing songs or may be hitting the right notes. So for me the take-away or think-outside-the-box was 'If it seems too much to have an experience of something early, you better get your hands dirty on your own, you will learn it the hard-way anyway'",what type of music did you begin to recall ?,3,2
What motivates you to do a good job?,"Good job is itself a motivation to work. Comfortableness, security, payment, flexibility, work, encouragement, appreciation motivates to work for any employee. If the mentioned qualities are satisfied, i think everyone will be motivated to work.",Would the security flexibility work well for security purposes?,2,2
Are you a self-motivator?,"yes. I motivate myself to be happy and active all the time. I avoid being depressed or worried about anything. The main thing that makes me self-motivated is o make my parents to be proud of their daughter and give the all the happiness that they need, which is what that makes me happy and gives me satisfaction in what I do.",what type of time do your motivate ?,2,1
How much do you value time at work?,"Time is of great essence at work. I have always believed in being on time'. Apart from being punctual, managing time is also very important. As, we know Time and Tide wait for none, so I respect the time that I have and try and utilize it to full.'",What is the managing time?,3,3
Tell me about a time you took the lead in a team project. What was the project outcome?,"I have work experience of only 2 years. So, I didn't get a chance to lead a team. But, I was given two freshers when i am just a one year senior to me. My Team lead was confident that i can train them to work in project well and so she gave the job to lead them. I gave my best to teach them stuff and everything is going well. Once i assigned a work to them and asked them to finish it by themselves, they messed up badly. Then our team lead came to the rescue and helped us out. That was the moment i realized the qualities needed for Team lead and started learning from everyone possible on how to become a good leader.",what was confident about your team ?,2,2
What are the qualities that you seek in your manager?,I would like my manager to have the quality of hearing and understanding various approaches to a problem rather than giving out their own idea to work on. This would help to approach any matter without much difficulty and getting out the right solution. I would also like them to be understanding situations around them and resolving any difficulties or concerns so that things proceed smoothly and happily which would help in better interactions and team-works. ,Is there any understanding if this would work with hearing aid and understanding the various approaches,1,1
"Have you worked with someone unprofessional, how did you handle it?","During my B-Tech final semester internship, I have experienced unprofessional behavior.  I did not do anything to show my displeasure, instead, I kept behaving professionally. It didn't solve the issue, but did reduce the magnitude to some extent. ",how did you view behaving ?,2,1
What do people most often criticize about you?,"There are quite few things regarding me that most people criticize about.They are listed below.

1.Patience. (I have a lot of patience.)

2.Less ego.(Too less.) 

3.Acting silly in few situations.

4.Not thinking twice before doing few things.

5.Inability to stick to a particular schedule.(As I told you in the previous answer, I do not like schedules.)

6.Getting too excited for small things.",what type of things were too excited ?,3,3
Are you a risk taker or do you stay away from risk?,It depends on situation. If I feel that I am interested in some work and it involves risk in it then I would definitely take the risk and go ahead with the work. But if the work or task doesnot interest me then I would probably not take the risk involved in it. Sometimes if I feel that the work will help me to explore something very new and rare thing then I would take the risk.,what do you think you would definitely take ahead ?,2,2
Do you consider yourself lucky?,Nothing has come to me without working for it and I have achieved most of the things I have worked for. I have been lucky that I got what I tried for.,what is one of the things nothing that nothing has come to have ?,1,1
How will you perform under pressure? Will it affect your performance?,"Yes, it will definitely affect me when I am under pressure. But from the experiences from my life I am sure that instead of  worrying all the time I will start working on the cause of the problem and then make a list of things that has to be done to rectify things, and start working on it. I will not perform as efficiently as I used to but if I see things improving that could lead to me working efficiently as progress is always motivating.",what did you do to rectify the time ?,2,1
What can you do better for us than the other candidates for the job?,"I never leave my work incomplete or undone. So, if you assign me some work, you can think of it as done. Also, I usually play away from the deadlines. So, you need not worry about nagging me to submit the work on time. ",what is the goal of nagging ?,3,3
What was the toughest decision you ever had to make?  ,"One of the toughest decisions I had to make was to give GATE without any formal coaching. That means I had to rely upon myself and no one else for any guidance. That proposition itself is pretty scary. Looking back, now that I am in IIIT, Bangalore , I completely regard my decision as a sensible one.",What is the best coaching for any formal coaching,3,1
What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'",Is this good for staying in academics,1,3
Are you a self-motivator?,"Yes, I am a self-motivator. I always think how the better or stronger version of myself would do a particular work and tend to be that person which is a big self motivating technique that allows me to be motivated every time. I always evaluate any performance by comparing my previous performance with my current performance and this motivates to be a better version of myself. It is one of the skills which I think plays an essential part in driving me towards success.",Is this a better version than the stronger version?,2,2
What motivates you to do a good job?,"Self competition ,That mainly motivates,I want to do more and more better work and In continuos competition to become more better as I used to be.",what is the difference between self and continuos ?,3,2
"If you could relive the last 10 years of your life, what would you do differently?",I do something different only if i know what is important after 10 years . So basically i might have enjoyed a lot and started reading some novels and i will be concentrating on only the subjects i loved most leaving everything else behind.If possible i will be practicing to play tennis in olympics.,how long does it last ?,3,1
What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'",Can this be used to learn on society,2,3
How much do you value time at work?,I enjoy work as much as other things I like. I would like to spend quality time at work and have no regrets on those spent moments. Its a part of my life,what was the purpose of regrets ?,3,3
How will you perform under pressure? Will it affect your performance?,First of all I will not allow things to go so wrong so as to create some sort of pressure. Now if the pressure starts to build up then I will make use of my time to the best of the ability  to handle this pressure. Yes it will affect some  my performance but not very much.,what starts to build up then you will make your time ?,1,1
Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .",what was the lead lead to 24 hrs ?,1,1
Why should I hire you?,I think that I am a capable person and I can prove it to you if you test me in it.,Would this be a good choice for a capable person to test with?,2,3
What are your views about further studies?,Further studies is necessary for anyone who is interested in getting the in-depth knowledge of his field of interest.,what is the depth of interest in interest,2,3
What is the biggest challenge you have faced so far?,"During my first job, I was not very good at programming. So in order to not appear unskilled' before the people i spent extra efforts to learn the same. '",is it good for extra efforts,1,1
When was the last time you thought outside the box and how did you do it? Why?,"As much I can recall, when I started learning guitar. I had joined under an instructor who would call me for 1 hour session once a week and teach me how to hit strings and all that basic stuff. I knew to master anything you would need to climb all the stairs one-through-all. But I was not ready to accept the fact that I actually had to put in a whole year of effort to just learn the basics. So I thought , things can be learned on the go too, by acting and not basically having a pre-planned road-map. And then, I started off with youtube and online resources and learned my way to hit chord for some songs on my own. Less than an year, and I started playing songs or may be hitting the right notes. So for me the take-away or think-outside-the-box was 'If it seems too much to have an experience of something early, you better get your hands dirty on your own, you will learn it the hard-way anyway'",what type of music did you begin to recall ?,3,2
Are you a self-motivator?,"Yes, I am. Before I start working on something or when I start studying something I just recall the eventual purpose of it when is my personal goal. So, when that goal flashes in my mind I get boosted like anything. I have set-up high goals in my life. My life mantra would is never settle, wondering what that means? According to me, only 'MUD' settles in the bottom. ",Is there a way to start working when working on the personal purpose,2,2
 Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.",what did you think was more focused on ?,3,3
Are you a risk taker or do you stay away from risk?,"This depends on situation. Sometimes for my growth I had taken risks. Like as I was sure to do M-Tech and for that i need good score in gate exam. As I was aware that college placement procedure will waste a lot of time but if I cant get admission  i any college, my year will be wasted. So people suggested me to take job as backup but for master I took risk and didn't apply for placements.",what exam was you sure for ?,3,2
Have you ever made a mistake? How did you handle it?,"Yes sure i have made mistakes. The mistake of which i can recall is that of taking a year gap after twelfth standard for preparation of competitive exams. I was not that confident enough for taking the drop and also had no motivation initially. Even i suffered from illness in the mid too. I handle it in the way that i always had good faith in me, prepared hard for the exams never left hope and just went on for it. In the end this dedication gave a fruitful reward too.",Does anyone know if this is confident,2,2
How do you balance life and work?,I donot think that I balance my work and life properly. Sometimes thereis heavy workload which donot allow me to spend time with my family. But I do give time to my personal life and family.,what do you believe you balance ?,3,3
What do people most often criticize about you?,"I am not very social, which i hear a lot of times from my friends.
I am introvert so i avoid going into social gatherings. I have been criticised for this many times.",what do your avoid ?,1,1
What are the qualities that you seek in your manager?,"The qualities which i seek in my manager are :
He has to be punctual. He has to be friendly enough,so that the employee who are working under him, will not be scared in expressing problems.He should not show partiality.
He should be a role model to the people working under him.He has to tackle situations effectively.He should not be scared and frustated very easily.He should have great patience.  ",what is your model ?,3,1
Are you a self-motivator?,"Yes i am a self motivator.As i keep asking myself of a better self than i am now, and also keep remainding myself of some of the extraordinary struggles of great peoples to keep my moral high.",what do you keep yourself ?,2,2
In what ways are you an organised or disorganised person?,"Organised:- I get up early in the morning and go to my workplace, without fail unless something urgent comes up. Keep value for time and try to respect deadlines.



Disorganised:- Poor in documenting day to day work, unless it is mandated by the employer. ",what does keep value keep value for ?,1,1
Tell us about a situation when your work has been criticized.,"i faced criticism when i was in my first semester. A group project was assigned to our group by out ITP professor. Our group decided that we would explore on Web Development and present it to the whole class. Since, i hardly knew anything about Web Development, i chose an obsolete topic. On top of that my presentation skills were very poor. So facing the whole class was very embarassing to me. Eventually i ended up spoiling the presentation. That was the time when i was criticised for my work.",Has anyone used this with a web development,2,3
What are your views about further studies?,"I believe that their importance differs from person to person, depending upon their context , background and future aspirations. Considering the fact that my goal is to contribute to a company with a meaningful mission, I feel that work experience trumps the extra years spent in higher education.",what is your goal in education ?,3,3
do you have problem working on shifts or late nights ?,There might be small problem if the shift is continuous throughout like from 9-9 or night 9 to early morning. if it is just for a month then I don't have a problem but if you continuously change the shift then my productivity will decrease.,Is there a problem with the productivity if you continuously change the shift and productivity,2,3
What was the toughest decision you ever had to make?  ,"I dont think I have made any such decision in which I was never sure about. I have some short term goals and some long term goals. I am felxible enough to mould my goals when it is utter necessity. Also, I am rigid enough, to make sure that I achieve what I want in life. So, I was never unsure about any big decisions I made in life.",Does it take big decisions,2,1
Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.","For those of you who have owned this project for a while, are you interested in working on the project of course?",2,3
"If you could relive the last 10 years of your life, what would you do differently?","Doing something differently from whatever i am currently doing, may be i would think of making my career in some artistic field related to my hobbies. For now whatever I do regarding my artistic interest, it's a part of my hobby and not as a career point of  view. Since now more of the facilities available to implement something entirely different as a career aspect, may be that's what i would have gone for.","in addition to hobbies , what else can be related to your hobbies ?",2,2
Describe a time when your workload was heavy and how you handled it.,"The workload during my Second Semester and Summer Vacations 2016 was pretty much heavy. However, I like to be busy nowadays. So I do not think a workload is a pressure, but the means to go forward and learn new things. However, we need to manage the workload due to a daily routine. Time management is the necessary step here. And also, I have this tendency to finish up the work of my interest quickly so as to not mess up the work and team progress.",when do we need to manage the workload ?,3,3
What strategies would you use to motivate your team?,"Frankly speaking, I love strategic management ! IF i summarize my thoughts into points in chronological order, they would look like this.



1) Create personal interest. cause i believe that no matter what you do, if he/she aren't interested, even almighty can't do anything !

2) Be a listener. Many people try imposing their ideas and never care what others have to say.

3) present your experiences, talk with them personally and bloom this bud of confidence in them.   ",what is the strategic management management,2,3
Do you consider yourself lucky?,"Extremely ! Given that i got admission into this college at the nick of time ! Basically i had no hopes on joining here and had planned for taking  a drop. Everything was set, we talked with the coaching institute, got my books packed up and everything. I was gloomy, couldn't talk with my pals, everything was going wrong ! That's when I got a mail from my dad about this ! so, if I weren't lucky, id not be sitting here and typing this sentence !",what did you i have a mail mail from ?,1,1
Describe a decision you made that was a failure. What happened and why?,"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.",what did we do in our college college ?,3,1
In what ways are you an organised or disorganised person?,"Organised:- I get up early in the morning and go to my workplace, without fail unless something urgent comes up. Keep value for time and try to respect deadlines.



Disorganised:- Poor in documenting day to day work, unless it is mandated by the employer. ",what does keep value keep value for ?,1,1
Who has inspired you in your life and why?,A lot of people have inspired me but mainly i would like yo say that my father is my inspiration. I have grown up watching him and i aspire to be like him in future,how many people have inspired you ?,3,2
What can you do better for us than the other candidates for the job?,"I never leave my work incomplete or undone. So, if you assign me some work, you can think of it as done. Also, I usually play away from the deadlines. So, you need not worry about nagging me to submit the work on time. ",what is the goal of nagging ?,3,1
How will you perform under pressure? Will it affect your performance?,"I am used to working under pressure after joining in IIIT B. Before IIIT B, pressure kind of gave me tension which automatically switched off my brain. Now i am used to it. Pressure happens if one don't work everyday, and keeping everything to the last. I am not doing that anymore, I started working early and trying to finish my work few days before deadline which is kind of helping me to be away from pressure.",what did you do to finish your work ?,3,2
