Answer,Extracted Keywords,Followup Question
"I want to learn the following new skills. 1. competitive Programming, 2. Machine learning, 3. Data Sciences. My main aim was to have some basic knowledge in almost every topics and have deep knowledge in a specified topic.",following new skills almost every topics specified topic main aim machine learning deep knowledge data sciences competitive programming basic knowledge want learn 3 2 1 ,What would I do if I could?
I joined this job to get experience in my field of interest. It will help me become a better person as I will get to interact with different people with different backgrounds and highly qualified. It will help me to learn things that I have to improve upon. This will also improve my communication with people. This is very close to my goal.,learn things improve upon highly qualified different backgrounds better person also improve get experience different people people get joined job interest interact help goal field communication close become ,What do you think of it?
"It was in my first semester when we had to submit our project and give a demo that next day. The day before our demo, we did not progress with even 10 of our project. It was a team work and we were new to such a project. All of us divide thew work and we sat the entire night together doing the work and completed the main part of our project by 6AM. All of us encouraged each other to keep ourselves active the entire night. The next morning we sat together and finished the remaining part of the project and gave our demo. Then we went back and took rest. This gave us immense satisfaction as we were very successful with what we did.",gave us immense satisfaction us divide thew work entire night together us encouraged entire night team work went back took rest sat together remaining part next morning main part first semester even 10 next day gave work sat day successful submit project progress new keep give finished demo completed active 6am ,Why ?
"The other day, I was working on a Website. One of my teammates came to me and showed me a patch of work which he had done. It seemed good. Then, another team mate came and showed me another implementation of the same patch. It was better. But then, they got into a fight. Now, I had to resolve that. I ended up calming down the first one to understand that the second approach was better and he must try implementing it. These kind of situations keep coming, and are required to be handled in order to let the flow of development go on smoothly.",another team mate came situations keep coming must try implementing teammates came another implementation seemed good second approach development go first one one working work website understand smoothly showed resolve required patch order let kind handled got flow fight ended done day calming better ,Why ?
"If such a situation arises, I would keep my thoughts in front of him politely and try to understand his point of view as well. If even after such discussion there is disagreement between us I will agree to disagree.",would keep situation arises well view us understand try thoughts politely point front even discussion disagreement disagree agree ,What do you think?
"No, that won't even solve any problem.It would just upset the other party. It's a waste of time. Lying is not an option at all.",even solve would waste upset time problem party option lying ,What 's important is what you say.
"I once worked in a team of 5 individuals. 2 of themincluding myself are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.",project work among right manner rest two 5 individuals us worked work project worked working time themincluding technicalities team others order one meetings interests interested implementation hence helped going everything ensured ensure documentation divided discuss depending 2 ,Do you have a specific strategy for keeping the team motivated and motivated enough?
"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.",week together miss communication first time team work team successful sat planned organize lack felt failed event due day coordination college chaos bad ,Where did you feel you failed and what did you learn?
"Well its a little ambigous question as i dont fully understand the meaning of outside. Will try to answer from what i have understood. So apart from sketching , surfing net, i love to read novels. I am a die hard fan of fictions. I also love to solve puzzles like sudoku, crosswords in my free time. My outdoor interests include shopping, visiting new places, going out with friends, etc",solve puzzles like sudoku outdoor interests include shopping visiting new places little ambigous question dont fully understand die hard fan surfing net read novels free time also love love well understood try sketching outside meaning going friends fictions etc crosswords apart answer ,Why are you interested in art?
"If my idea and execution both are perfectly sound then the client would be automatically impressed. But if I have come up with a new idea, I would explain the idea and its long lasting benefits to my clients. I think my ideas and commitment would be good enough to convince any client.",long lasting benefits would explain perfectly sound good enough commitment would automatically impressed new idea client would idea client think ideas execution convince come clients ,Why not?
I am risk taker. I believe that life is itself risk and if you have to do something good then you have to take risk. I takes risk but first I consider all the factors and think that risk is worth taking or not.,worth taking something good takes risk take risk risk taker risk think life first factors consider believe ,Do you have the right mindset?
"If you are intention is how I've compromised in my professional behaviour this is one of the instance I could relate to. When I'm dong projects in group we always have diverse ideas on how to go about it. we respect each others decision and try to look into pros and cons of each idea and the compromise on others. I always encourage all the people in the team to speak or pitch in their view, this will help them involved in the discussion and even they won't feel isolated from the project. This would call for diverse and different ideas. Once we have looked into pros and cons people will definitely appreciate our decisions. And that decision is not taken by a single person it will be a team discussion out of which we get this result.",would call single person professional behaviour feel isolated dong projects different ideas definitely appreciate could relate diverse ideas always encourage team discussion others decision cons people team people others diverse discussion decision cons always view try taken speak result respect pros project pitch one looked look involved intention instance idea help group go get even decisions compromised compromise ,What do you think?
"Deepika padukone on her acting skills, she's one hell of an actress now.",one hell deepika padukone acting skills actress ,Where do you think you got it?
"No, I believe in what decisions I take for myself. Even if they are wrong, I don't regret as at a point of time it was me who took that decision.",wrong took time take regret point even decisions decision believe ,How do you feel about your decisions?
I only regret my decision of having a bad company during the second most crucial phase of my life - the competitive exams preparation and also always looking for some external motivation when none was required. I actually developed a habit of procrastination which I would regret my entire life. My performing at less than 10 of my actual capabilites is the just consequence of that.,competitive exams preparation also always looking external motivation crucial phase bad company actually developed actual capabilites would regret entire life regret life second required procrastination performing none less habit decision consequence 10 ,Do you regret any decisions you made during your life?
"A friend of mine was always late to project meetings and never informed us about the same. I attributed this to her non-seriousness towards the work. Whereas, she was under a lot of stress at that time due to family problems. That was the time I wrongly judged her for being insincere.",never informed us wrongly judged seriousness towards project meetings family problems always late time due time work whereas stress non mine lot insincere friend attributed ,Do you have any advice on this topic?
"Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.",happen many times team -' sahyog mentorship club many time little tough either make deadline dates cultural committee come forward bit unprofessional team unprofessional time come youhave use tasks sure sometimes set sanskriti meeting juniors handling finished done conclusion college call allotted ,Why ?
Just by explaining benefits of my way of doing the job and how he will get benefits from it.,get benefits explaining benefits way job ,How would you convince a client who's not familiar with the industry?
"The biggest problem with our species is that rationality takes a back seat when emotions come into the picture. Emotions, I'd say, are our greatest strength and weakness. The thing that binds us together and makes us empathetic, is the same thing that makes us gullible and drives us to make irrational decisions. Back in the my undergraduate days, we had to raise funds for our college tech fest. It was decided that we would go from shop to shop in one of the busiest lanes of the commercial street to amass money for our technical fest. We soon found that people were neither motivated nor inclined to donate money for our cause. It was a tough and necessary realisation. We went back to our drawing boards. We had to come up with a plan. We had to identify with the people, connect with them, conjure up in their minds ideas and images that would aid our cause. School, education and children. These words conjured up old forgotten memories in the young guys and thoughts of grandchildren in the old menThey were our target demographic. The typical shop-owner, between the age of 35 - 60. And that is when the appeal of emotions struck us. As part of the events that were planned, we included a state level quiz for school students. This would later turn out to be our silver bullet. From then on out, we approached prospective benefactors not with a view to support our tech fest, but with a plea to help us host the state level Quiz, which in turn was part of the whole fest. The response was beyond what we had expected. People were more than willing to donate and even sponsor the event and the tech fest when we talked about school children and education. Appeals to emotion seldom go unanswered.",emotion seldom go unanswered state level quiz make irrational decisions approached prospective benefactors makes us gullible makes us empathetic help us host binds us together old forgotten memories emotions struck us college tech fest would later turn would go drives us tech fest old menthey would aid whole fest technical fest young guys words conjured undergraduate days target demographic soon found silver bullet rationality takes raise funds neither motivated necessary realisation minds ideas greatest strength even sponsor drawing boards commercial street busiest lanes biggest problem amass money went back school students back seat typical shop emotions come donate money school children turn emotions school back shop donate come children willing weakness view tough thoughts thing talked support species say response plea planned plan picture people part owner one included inclined images identify grandchildren expected events event education decided connect conjure cause beyond appeals appeal age 60 35 ,Where do you see yourself in 5 years?
"The biggest problem with our species is that rationality takes a back seat when emotions come into the picture. Emotions, I'd say, are our greatest strength and weakness. The thing that binds us together and makes us empathetic, is the same thing that makes us gullible and drives us to make irrational decisions. Back in the my undergraduate days, we had to raise funds for our college tech fest. It was decided that we would go from shop to shop in one of the busiest lanes of the commercial street to amass money for our technical fest. We soon found that people were neither motivated nor inclined to donate money for our cause. It was a tough and necessary realisation. We went back to our drawing boards. We had to come up with a plan. We had to identify with the people, connect with them, conjure up in their minds ideas and images that would aid our cause. School, education and children. These words conjured up old forgotten memories in the young guys and thoughts of grandchildren in the old menThey were our target demographic. The typical shop-owner, between the age of 35 - 60. And that is when the appeal of emotions struck us. As part of the events that were planned, we included a state level quiz for school students. This would later turn out to be our silver bullet. From then on out, we approached prospective benefactors not with a view to support our tech fest, but with a plea to help us host the state level Quiz, which in turn was part of the whole fest. The response was beyond what we had expected. People were more than willing to donate and even sponsor the event and the tech fest when we talked about school children and education. Appeals to emotion seldom go unanswered.",emotion seldom go unanswered state level quiz make irrational decisions approached prospective benefactors makes us gullible makes us empathetic help us host binds us together old forgotten memories emotions struck us college tech fest would later turn would go drives us tech fest old menthey would aid whole fest technical fest young guys words conjured undergraduate days target demographic soon found silver bullet rationality takes raise funds neither motivated necessary realisation minds ideas greatest strength even sponsor drawing boards commercial street busiest lanes biggest problem amass money went back school students back seat typical shop emotions come donate money school children turn emotions school back shop donate come children willing weakness view tough thoughts thing talked support species say response plea planned plan picture people part owner one included inclined images identify grandchildren expected events event education decided connect conjure cause beyond appeals appeal age 60 35 ,Where do you see yourself in 5 years?
"I am actually more interested in salary than job.but that doesn't mean that I am not interested in my job. My first preference goes to salary and then job.generally good salary means a good job in a big company but the burden is more.I like to work in big companies even when there are loads of work.job satisfaction is obtained when every aspect of work we do satisfies us which is impossible.so,it is salary that matters more for me.",generally good salary means first preference goes big companies even good job big company satisfies us every aspect job satisfaction salary job work obtained mean matters loads like interested impossible burden actually ,Are you interested in salary?I am not.
"I always fail keeping up my diet in order to lose weight, but i have lot of willpower and patience which keeps me going.",always fail keeping lose weight willpower patience order lot keeps going diet ,Are you able to keep your mind clear of distractions and keep your thoughts focused on what you need to do?
"yes, I think i am a self-motivator, let me tell you about my experience ,when i was in 12th standard i didn't study properly and got less marks but inside i knew i could have got a good score ,after that in engineering i keep on motivating myself. That is how i got somewhat better score.",got somewhat better score got less marks good score study properly 12th standard got yes think tell self motivator motivating let knew keep inside experience engineering could ,Are you a self-motivator?
I helped others to compromise.We were participating in a hackathon and we had to suggest ideas for that. I believed that my idea was better and asked others to think about it.Finally I was able to convince them by describing them my idea properly an finally they are convinced and we won the hackathon.,suggest ideas helped others asked others idea properly idea think participating hackathon finally describing convinced convince compromise better believed able ,Why ?
"Sometimes I compromise if some elder person or the person whom I respect wants something on which I don't agree. For example, my grandparents love and they didn't want me to go out of the country for higher studies, so I am doing my masters from India only.I tried convincing them but it was all in vain.In the end the result is that we both are happy.",respect wants something tried convincing higher studies grandparents love elder person person want vain sometimes result masters india happy go example end country compromise agree ,Where did you get your information from?
"yes, I am . Its not possible you always have someone to motivate you for doing something, sometimes you have to say to you yes you can do it and no one can do better than you . May be you fail to achieve what you want but doing something is better than doing nothing.",yes want sometimes something someone say possible one nothing motivate may fail better always achieve ,Why ?
"When I was in company , we had last day to finish our target . We started our day with a small meeting and we discussed how things can be done on time . And then we proceeded as par our plan . We were able to complete significant amount of work during office hours but It was not enough . We extended our working hours and we manage to get things done . At the end everyone was satisfied with his or her efforts .",complete significant amount get things done working hours small meeting office hours end everyone last day things done day work time target started satisfied proceeded plan par manage finish extended enough efforts discussed company able ,How did you feel about it?
"If my colleague is not performing as per the work given to him i will try to convince him to work on it with interest and how his work is helpful and important for his career to get new opportunities in a team, in organization. I will try to make him convinced if he is not interested in that technology or work, i will tell him first try to understand the core of the project or product and do what ever tasks assigned to you and side by side learn new technologies of your interest which will be helpful for project development. so even if he is not convinced i will suggest him to give a try to learn new things otherwise pursuing his area of interest.",learn new things otherwise pursuing side learn new technologies get new opportunities ever tasks assigned work given project development first try side work try project understand tell technology team suggest product performing per organization make interested interest important helpful give even core convinced convince colleague career area ,Where is your best advice?
"I like reading fiction novels. I am more interested into mystery solving and crime investigation so I have read some of Dan Brown, Sidney Sheldon, Agatha Christie.I also like reading articles online and in newspaper. I like to learn and play different sports like basketball, table tennis, lawn tennis. I like photography, in particular shooting animals and nature.",play different sports like basketball also like reading articles online like reading fiction novels particular shooting animals like photography table tennis sidney sheldon mystery solving lawn tennis dan brown crime investigation agatha christie like read newspaper nature learn interested ,"Where I live in the Netherlands, I have to be careful about what I buy because of the tax."
"I would like to think that it would not given my past experiences. I have had a few rough phases in life and was able to give my best in spite of them. The instance which triggered these rough phases was the death of my mother. I was 10 at the time and that triggered a bunch of family problems but I could make myself do my work through it all. In fact, I believe that doing work is the only was to get rid of the stress. I manage to stay calm and think clearly in such situations. So, I would say I perform well enough and that my performance does not get affected in pressure situations.",perform well enough stay calm rough phases past experiences get rid get affected family problems could make would say would like think clearly pressure situations would think situations work triggered time stress spite performance mother manage life instance given give fact death bunch best believe able 10 ,How have you dealt with the pressures?
"There have been many mistakes but none too serious to comment here. In general, when I make a mistake and if it affects my negatively, I try to be positive and make it right in whichever way possible.",whichever way possible many mistakes try serious right positive none negatively mistake make general comment affects ,Why ?
Yes. I have good career and happy with where my current position,good career current position yes happy ,Why ?
"I believe that Luck favours the Hard working. The reason for me to have this belief is because we usually get what we deserve and we deserve what we work hard to achieve. A person who has worked hard for an interview is more probable to be lucky and selected than a person who has not worked towards it. Without working hard, we may have luck on our side on a few occasions. Also when we work hard we may be unlucky a few times but these are far and few. Thus generally speaking, hard work => luck",hard work => luck thus generally speaking without working hard work hard hard working worked hard luck favours worked towards usually get luck unlucky times side selected reason probable person occasions may lucky interview far deserve believe belief also achieve ,Do you believe in luck?
"My friends and teachers told me that I am very good in exploring new things to solve a problem, and that part is very useful when we stuck with some problem, and we need out of the box thinking.",exploring new things teachers told box thinking useful stuck solve problem part need good friends ,Why not try to do this?
"Recently when i was working in my project i got struck by some angular js code. I googled the issue ,talk to my facultly still i didnot get resolved. I work hard foraround 2 days for that. I was working days and nights for the issue and finally after 2 days of hard work i solved it.",work hard foraround 2 days didnot get resolved angular js code hard work 2 days working days got struck facultly still working talk solved recently project nights issue googled finally ,Where is the fix?
I don't think my performance would be affected under pressure.In fact I would be more determined to complete my task under duress.I would be more motivated towards my duty if I have somethimg to lose.,motivated towards performance would would think task somethimg pressure lose fact duty duress determined complete affected ,Why should you be worried about that?
"The most difficult situation in my life till date is preparing for jee,at the beginning ,i was unable to cope up with it,but soon by longer hours of study,dedication,transformed attitude,hard work and development of passion towards subject,developing concentration and immense support from my parents,especially my father who was with me in ally struggles,ultimately the spiritual power made me stand in the race .",spiritual power made passion towards subject life till date transformed attitude longer hours immense support hard work difficult situation developing concentration ally struggles unable ultimately study stand soon race preparing parents jee father especially development dedication cope beginning ,How much I have to thank my parents for that They have been very helpful in helping me with my
"The last project I did was to implement a IP asset management portal for my Institute. During the course of our project, we had to deal with a lot of changes from the customer side. Some of the request required the complete redesign of the software architecture. But our team was able to incorporate all of the changes, with a lot of hard work and a lot of sleepless nights",ip asset management portal software architecture sleepless nights request required hard work customer side complete redesign last project project team lot institute incorporate implement deal course changes able ,What if the customer is unhappy about the end product?
"During my college days, I started a club by name Soft skills and communication associations. I trained people in public speaking and learning English. This helped them during their placement. We had weekly meetings and feedback was provide for members so that they could improve on their weakness. I used also help my friends in their studies. I used to travel by college bus. That was the free time I had and I used this free time fruitfully. I created a win-win situation by clearing their doubts and helping in their studies. This in turn, helped me as well.",name soft skills used also help free time fruitfully free time weekly meetings trained people public speaking learning english could improve communication associations college days college bus win situation used win well weakness turn travel studies started provide placement members helping helped friends feedback doubts created club clearing ,What are your strengths?
"I developed a JavaScript library that manipulates the web elements using the data retrieved from accelerometer and gyroscope of smartphones and using which, the elements on the web page was made to simulate real-world shadows with an imaginary light source.",imaginary light source web elements using web page world shadows simulate real javascript library data retrieved using elements smartphones manipulates made gyroscope developed accelerometer ,How can I use this library?
If I have any problem at my workplace then first I will try to understand my problem deeply and will try to solve by own if possible . If not I will inform my seniors and will seek for help.,problem deeply problem workplace understand try solve seniors seek possible inform help first ,Why ?
"Yes, i am a hard working person and i like to learn and lot for my personal growth",hard working person personal growth yes lot like learn ,Why ?
"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.",team mates worked extra time generate much progress due regular progress check meetings team mates till progress made periodically could finally complete course called introduction team mates whole could team mated team mate know much cross check us chose randomly chosen prevent repetitions per plan orally assured oral assurances made sense integrate everyone going fine future plan first year became clear 4 students work amongst incomplete work also since time team check made course work know also worthy without wanted verify trust think teammates said sadly promised project profession proceed problems part others order one mistake met meet knowledgable iiit however group excited everything even end done divide decided deadlines control completed compensate communicate come charted bother believed bangalore area ,Why did you do it?
"Not yet. But I am getting there. Success is a habit. I am still in the process of building consistent habit of learning, fitness, etc.",building consistent habit habit yet success still process learning getting fitness etc ,Why ?
"Not really. Sometimes yes and sometimes no. Many a times I have felt that I have deserved something, for example an internship abroad but I dint get it because I was Indian and it was too much paper work for the company. So this made me feel unlucky. But there are times where I have felt lucky too, for example representing my college in World Finals when I had no hope that our team would be selected. It was a surprise for all of us.",much paper work world finals team would internship abroad feel unlucky dint get deserved something sometimes yes felt lucky example representing sometimes felt example us times surprise selected really many made indian hope company college ,Why do we feel lucky?
"I was doing one web project this summer for some client. So, weteam are using the technologies like jsp, servlet etc. for server side but at the end when 2-3 days are left for the deadline, client said he want that website in django as it's easy to handle and he also know something about it. So, after arguing with him about the sudden change at the end, i took the decision of accepting his proposal. So, in 4-5 days, we have ready his website.",technologies like jsp one web project also know something sudden change servlet etc server side 5 days 3 days client said client weteam website want using took summer ready proposal left handle end easy django decision deadline arguing accepting 4 2 ,Why ?
"Absolutely. For me, internal motivation works far more than external motivation ever could. Yes, at first, it may seem like I want some sort of external motivation, but the very end, my heart goes into the work assigned only when my own self pushes me to do it.",internal motivation works far external motivation ever could may seem like external motivation work assigned self pushes heart goes yes want sort first end absolutely ,What 's the best way of getting your mind off the game?
Coding and Cricket are the only two passions that i have.,two passions cricket coding ,Why would anyone want to be a programmer?
"Time is of great essence at work. I have always believed in being on time. Apart from being punctual, managing time is also very important. As, we know Time and Tide wait for none, so I respect the time that I have and try and utilize it to full.",tide wait great essence always believed managing time know time time work utilize try respect punctual none important full apart also ,Are you an optimist or pessimist?
My skills are a perfect match for the company's requirements. The company would definitely benefit from me as I have domain experience. I have a good idea about the company's goals. For me it's a place I can learn and be productive. I am young and skilled.,company would definitely benefit perfect match good idea domain experience company young skills skilled requirements productive place learn goals ,Why not apply to this job?
"After my 12th standard, i wanted to study in one of the premier engineering colleges in India. But unfortunately, I couldn't do well in the entrance exams of those. But, without losing hope, I followed my passion towards electronics and joined a decent engineering college in Bangalore. I designed few projects, and attended several workshops during the 4 years of course. Later, i joined an electronic startup and designed several projects during my tenure of one year. Now i am in the path of carrying out valuable research and contribute to the field of electronics.",without losing hope premier engineering colleges decent engineering college attended several workshops passion towards electronics designed several projects valuable research entrance exams electronic startup 4 years 12th standard one year projects electronics designed one well wanted unfortunately tenure study path later joined india followed field course contribute carrying bangalore ,Where do you find time to work?
"A recent difficult situation I had faced was that of non cooperative team members. We had to write an open book, take home exam and we were in groups of three. We had to stay back during out holidays to complete the exam and one of my teammates refused to do so because she felt homesick. Initially, I was upset and stressed out because we had to complete the exam and there were only two of us and it counted for 50 weightage in a four credit course. That teammate was one of my best friends so that made it all the more difficult. However, I decided to compartmentalize. I decided to take matters into my hands, work hard and attempt to do my best without that teammate. In the end, I was successful and we managed a good grade.",non cooperative team members four credit course recent difficult situation take home exam take matters work hard teammates refused stay back open book good grade felt homesick best without best friends 50 weightage exam difficult write us upset two three teammate successful stressed one managed made initially however holidays hands groups faced end decided counted complete compartmentalize attempt ,Do you know why?
"After my post-graduation,i would like to work for some software company so i will not go for any higher studies.",would like software company higher studies work post graduation go ,Do you think that it has any influence on the way you think about software development?
"I am definitely a risk-taker. One cannot move up the ladder of success without taking risks. Having said that, I take risks only after assuring that the damage is minimal in case I fail. I like taking risks as that will put me out of my comfortable place and give me new experiences. Also, risks make me work harder.",success without taking risks like taking risks one cannot move take risks risks make work harder new experiences comfortable place taker said risk put minimal ladder give fail definitely damage case assuring also ,Are you a risk taker or don't you stay away from risk?
"Yes. In fact , a big big yes. At times I need someone to show me the light but most of the times, I am that guarding light for myself. And it's important as well because somebody can't be there all the time.",big big yes need someone guarding light yes light well times time somebody show important fact ,Do you have a favorite song?
"i would first try to convince myself with my idea, and try to find out what are the loop holes which would not allow my ideas to be accepted by any person. I would work on that so that i sound more convincing. i would also create a sense of urgency in my client to accept my ide",would also create would first try would work loop holes would try urgency sound sense person ideas idea ide find convincing convince client allow accepted accept ,Why ?
The biggest challenge I have faced so far is to not worry about things I can't change do anything about.,biggest challenge worry things far faced change anything ,Where do you think you're going wrong?
"I am just 21 year old, I have not yet faced major disappointments till now. But I was in disappointment the day I realized that I didnt make it to BITS, IIT . As famous quote says Time Heals Everything. I also realized I am happy in my current college and its no more big disappointment.",famous quote says time heals everything yet faced major disappointments till 21 year old didnt make current college big disappointment also realized realized disappointment iit happy day bits ,How can we make it bigger in the future?
"Frankly speaking, this is my third interview. So, I am kind of amateur in all this interview process, that's why I am also trying to figure out answer to above question",third interview interview process frankly speaking also trying question kind figure answer amateur ,How many interviews do you do?
"Other than my professional interests, personally I am interested in dance and music. Currently I am learning the classical dance form of Kathak and I am enjoying every bit of it. I also like to read blogs on life hacks, productivity and time management.",enjoying every bit classical dance form time management read blogs professional interests life hacks also like dance productivity personally music learning kathak interested currently ,What is your code standards?
"My area of research is perfectly aligned with the job description and hence with me, comes my 2 years of research that will bring quality to the kind of work that is being done in the organization. Also i have been to industry for 3 years so i know how things work at an organization level, so we need not waste time on getting me on board and doing ramp up sessions to get used to of working ethics.",working ethics waste time perfectly aligned job description get used bring quality 3 years 2 years things work organization level work organization sessions research ramp need know kind industry hence getting done comes board area also ,How would i be an asset to this organisation?
"Yes. In fact , a big big yes. At times I need someone to show me the light but most of the times, I am that guarding light for myself. And it's important as well because somebody can't be there all the time.",big big yes need someone guarding light yes light well times time somebody show important fact ,Do you have a favorite song?
"Yes. I have got an opportunity to transform myself through hard work. I have the priviledge to help people experience latest in web technology and thus make their life better. Also its a pleasure to lead people, get inspired and inspire others by getting job done.",help people experience latest getting job done lead people web technology thus make life better inspire others hard work get inspired yes transform priviledge pleasure opportunity got also ,What do you enjoy the most?
"Yes, i am a hard working person and i like to learn and lot for my personal growth",hard working person personal growth yes lot like learn ,Why ?
I had an idea of trying to learn guitar which I couldnt continue for more than a week. I did try my best but I felt it was difficult to learn. I would like to try again.,would like couldnt continue learn guitar learn week trying try idea felt difficult best ,What would it take to get you to try it?
"it was during my report submission time at the end of 2nd semester in M.tech. There were 5 reports to be submitted within 6 days time. i made up a plan to do a part of the report for every 3 subjects each day so that i do not get bored, and it worked and i could submit all the reports timely.",submitted within 6 days time report submission time every 3 subjects reports timely get bored could submit 5 reports 2nd semester report worked tech plan part made end day ,What were your biggest frustrations?
When am in childhood 2 times I got an accident that is the biggest challenge in my life.,childhood 2 times biggest challenge life got accident ,What advice do you have for others?
"I am not really the best programmerin the classical sense around. And I have realized, over time, that I don't particularly enjoy programming either. Therefore, I would like to pursue higher studies. I think it will provide me with a clearer and profound perspective of any subject that I choose to study. But also, I don't want to be dependent on my parents for money, which is why I would take up a job first, earn money for myself, while preparing for any exams that I have to write in order to pursue higher studies in a decent institution.",particularly enjoy programming either pursue higher studies classical sense around would take would like profound perspective job first decent institution best programmerin earn money money write want time think therefore subject study really realized provide preparing parents order exams dependent clearer choose also ,How would I do that?
"Confidence is having faith in yourself and your capabilities. Being confident is to be prepared for whatever is being thrown at your way. It does not mean that you will always be successful. That is over-confidence. Over-confidence is when you become too sure of yourself and make success the only option. You become too proud to accept defeat, which is harmful because you would never never learn. Being confident is to have a positive attitude and believe that you can do it and also believe that you will be fine if in case you cant. It is not abu",would never never learn positive attitude make success accept defeat also believe believe whatever way thrown sure successful proud prepared option mean harmful fine faith confident confidence case capabilities cant become always abu ,How to be confident in the future.
"When i was in my high school,and when i had to prepare for my engineering entrance exams and board exams i had to study many hours and work hard to improve my performance.I then decided to priorotise my goals,and i realised that doing things which affect long term results are much important than things which give short term results.I decided to study for my engineering entrance exams more when compared to board exams because college is a place where we spend our crucial period of life,where we learn and get geared up for the career.Though getting good marks in board exams is also important but making it into a good engineering college is more important. Thus i was able to make a decission and reduce my workload.",give short term results affect long term results though getting good marks good engineering college engineering entrance exams study many hours board exams work hard high school get geared crucial period much important also important study college important workload thus things spend reduce realised priorotise prepare place performance making make life learn improve goals decission decided compared career able ,Are you sure you want to continue?
"I will try to convince him and show him why he is wrong. I will try to come with up a logical reason, so that he can understand my point.",logical reason wrong understand try show point convince come ,What do you do if someone tells you they have a problem with something?
"yes,a little bit but i believe luck is nothing without hard work. Only your hard work can makes u sound lucky .",makes u sound lucky nothing without hard work hard work little bit believe luck yes ,Do you think it is possible for me to be the next president of the United States?
"If I have problems at my workplace, I would not make haste in complaining. Instead, I would calmly analyze the problem first. I would try to look at it from different perspectives and would try to find a solution that considers everyone's needs. I'll first talk to the colleagues with whom I have problems with. I'll approach the higher authorities only when this approach doesn't work. I would also take advice of my parents as they are much more experienced than me.",would also take advice would calmly analyze would try problem first make haste higher authorities first talk different perspectives considers everyone would workplace work solution problems parents needs much look instead find experienced complaining colleagues approach ,Do you know why?
