,question,answer,question_keywords,answer_keywords
326,Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","made, happened, failure, describe, decision, ","team mates worked extra time, generate much progress due, regular progress check meetings, team mates till, progress made periodically, could finally complete, course called introduction, team mates, whole could, team mated, team mate, know much, cross check, us chose, randomly chosen, prevent repetitions, per plan, orally assured, oral assurances, made sense, integrate everyone, going fine, future plan, first year, became clear, 4 students, work amongst, incomplete work, also since, time, team, check, made, course, work, know, also, worthy, without, wanted, verify, trust, think, teammates, said, sadly, promised, project, profession, proceed, problems, part, others, order, one, mistake, met, meet, knowledgable, iiit, however, group, excited, everything, even, end, done, divide, decided, deadlines, control, completed, compensate, communicate, come, charted, bother, believed, bangalore, area, "
327,What are your views about further studies?,Further studies is necessary for anyone who is interested in getting the in-depth knowledge of his field of interest.,"views, studies, ","depth knowledge, studies, necessary, interested, interest, getting, field, anyone, "
328,What was the toughest decision you ever had to make?  ,"I dont think I have made any such decision in which I was never sure about. I have some short term goals and some long term goals. I am felxible enough to mould my goals when it is utter necessity. Also, I am rigid enough, to make sure that I achieve what I want in life. So, I was never unsure about any big decisions I made in life.","toughest decision, make, ever, ","short term goals, long term goals, utter necessity, rigid enough, never unsure, never sure, make sure, felxible enough, dont think, big decisions, goals, want, mould, made, life, decision, also, achieve, "
329,Do you consider yourself successful? Why?,"Yes, i am a hard working person and i like to learn and lot for my personal growth","successful, consider, ","hard working person, personal growth, yes, lot, like, learn, "
330,What are the qualities that you seek in your manager?,"Smart, Cooperative, Friendly, Understanding, Strict (sometimes), Someone who acts like a leader and not like a boss. ","seek, qualities, manager, ","sometimes ), someone, acts like, like, understanding, strict, smart, leader, friendly, cooperative, boss, "
331,Do you consider yourself lucky?,I believe in the adage 'luck favours the brave'. You should be brave enough to make your own choices whilst knowing their consequences and brave enough to remain standing firm when the consequences of your choice come to hit you. ,"lucky, consider, ","remain standing firm, choices whilst knowing, luck favours, choice come, brave enough, brave '., make, hit, consequences, believe, adage, "
332,How would you be an asset to this organisation?  ,I have a great interest in coding and machine learning and i wanted to do some research in Machine Learning so there is a lot of chance for me to join your organisation and hope we can achieve something big.So in this way i think i can be an asset to this organistion.,"would, organisation, asset, ","achieve something big, machine learning, great interest, way, wanted, think, research, organistion, organisation, lot, join, hope, coding, chance, asset, "
333,What is the biggest challenge you have faced so far?,The biggest challenge I have faced so far is to not worry about things I can't change/ do anything about.,"biggest challenge, far, faced, ","biggest challenge, worry, things, far, faced, change, anything, "
334,How much do you value time at work?,"Time is very valuable and I have learned it the hard way. Concentration, speed and continuity along with timely execution of plans are essential to success.","value time, work, much, ","timely execution, hard way, continuity along, valuable, time, success, speed, plans, learned, essential, concentration, "
335,What is the biggest challenge you have faced so far?,Mainitaining good worklife  balance has always been an issue for me,"biggest challenge, far, faced, ","mainitaining good worklife balance, issue, always, "
336,What is the biggest challenge you have faced so far?,"I was totally new in data science field. I like this area but i don't have that much idea about it. But I have to select specialisation within one day. I don't have sufficient time to think over that. I was completely new in this field. I am so much confused and don't have any idea about anything. So, I communicated with seniors and faculty members to know that what is actual going in each subject. After basic idea of each course, i started surfing about details of each topics on google. After getting clear idea about everything i selected my liking specialisation.  ","biggest challenge, far, faced, ","select specialisation within one day, getting clear idea, data science field, liking specialisation, totally new, sufficient time, started surfing, much idea, much confused, faculty members, completely new, basic idea, actual going, idea, field, topics, think, subject, seniors, selected, like, know, google, everything, details, course, communicated, area, anything, "
337,What strategies would you use to motivate your team?,"Short term goals, and associated rewards. Rewards always increases the confidence in an individual and keeps them motivated while keeping the larger picture in mind.","strategies would, use, team, motivate, ","short term goals, rewards always increases, associated rewards, larger picture, motivated, mind, keeps, keeping, individual, confidence, "
338,What are your passions?,My passion is to develop technology which is gonna change the world. Besides that i love travelling and want to vist as many countries as possible,"passions, ","many countries, love travelling, gonna change, develop technology, world, want, vist, possible, passion, besides, "
339,When was the last time you thought outside the box and how did you do it? Why?,"As much I can recall, when I started learning guitar. I had joined under an instructor who would call me for 1 hour session once a week and teach me how to hit strings and all that basic stuff. I knew to master anything you would need to climb all the stairs one-through-all. But I was not ready to accept the fact that I actually had to put in a whole year of effort to just learn the basics. So I thought , things can be learned on the go too, by acting and not basically having a pre-planned road-map. And then, I started off with youtube and online resources and learned my way to hit chord for some songs on my own. Less than an year, and I started playing songs or may be hitting the right notes. So for me the take-away or think-outside-the-box was 'If it seems too much to have an experience of something early, you better get your hands dirty on your own, you will learn it the hard-way anyway'","thought outside, last time, box, ","1 hour session, started learning guitar, started playing songs, would need, would call, stairs one, something early, right notes, planned road, online resources, master anything, hit strings, hit chord, hands dirty, better get, basic stuff, whole year, way anyway, started, songs, year, way, youtube, week, thought, think, things, teach, take, seems, recall, ready, put, pre, outside, much, may, map, less, learned, learn, knew, joined, instructor, hitting, hard, go, fact, experience, effort, climb, box, basics, basically, away, actually, acting, accept, "
340,Describe a time when your workload was heavy and how you handled it.,"During my mtech course, I was very much over occupied with my subjects and projects that I took as open electives. Initially, I thought they are very good and I will be learning a lot through these. As time passed, I found myself relentlessly anguished with the amount of the work that was needed to be done. I have never been so much trapped in the work before. Hence, I didn't find any solution of how to start with. But then I used to see my other mates on how they manage their day , maintaining schedule and following it. Maybe it was a feeling of competition that pushed me to divide time for e","workload, time, heavy, handled, describe, ","time passed, relentlessly anguished, open electives, mtech course, maintaining schedule, divide time, much trapped, much, work, used, took, thought, subjects, start, solution, see, pushed, projects, occupied, never, needed, maybe, mates, manage, lot, learning, initially, hence, good, found, following, find, feeling, e, done, day, competition, amount, "
341,What do people most often criticize about you?,"There are quite few things regarding me that most people criticize about.They are listed below.

1.Patience. (I have a lot of patience.)

2.Less ego.(Too less.) 

3.Acting silly in few situations.

4.Not thinking twice before doing few things.

5.Inability to stick to a particular schedule.(As I told you in the previous answer, I do not like schedules.)

6.Getting too excited for small things.","often criticize, people, ","like schedules .), less .), thinking twice, previous answer, people criticize, particular schedule, less ego, acting silly, patience .), things regarding, small things, things, patience, told, stick, situations, quite, lot, listed, inability, getting, excited, 6, 5, 4, 3, 2, 1, "
342,Why shouldn't I hire you?,I am very good working alone but sometimes not so good working in teams. But i am trying to pick that up. My 2 yr work experience has taught me a lot.,"hire, ","2 yr work experience, good working alone, good working, trying, teams, taught, sometimes, pick, lot, "
343,Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.","worked, team, give, example, ","project work among, right manner, rest two, 5 individuals, us worked, work, project, worked, working, time, technicalities, team, others, order, one, meetings, interests, interested, including, implementation, hence, helped, going, everything, ensured, ensure, documentation, divided, discuss, depending, 2, "
344,Tell me about a time you took the lead in a team project. What was the project outcome?,I was leading a couple of people when I was organising an event. Basically there's was a prize money for the best event. I led the whole team. I worked with the juniors and did work along with them apart from leading them. That made them work harder as besides being a senior I was doing their work. Helping them out when they were tired. That eventually acted as  the motivation for the whole team. Finally we won the event.,"team project, project outcome, took, time, tell, lead, ","whole team, prize money, eventually acted, work harder, work along, best event, work, event, worked, tired, senior, people, organising, motivation, made, led, leading, juniors, helping, finally, couple, besides, basically, apart, "
345,What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'","views, studies, ","process may discover something, academics always helps us, always wanted, would term, standing impression, research '.', keep alive, us, academics, synonym, studies, staying, society, relearn, mankind, learn, child, "
346,Do you consider yourself lucky?,"Yes, I consider myself as lucky as I have many  things that some people do not have. I have my parents to guide me, friends to support me and many more. I also think that I am lucky because of some life events I experienced like, I was preparing for GATE along with B.Tech final year, my preparations were not up to the level, but then the paper was not difficult in 2015 and I made it to IIIT-B.  ","lucky, consider, ","tech final year, life events, gate along, experienced like, also think, many things, many, yes, support, preparing, preparations, people, parents, paper, made, lucky, level, iiit, guide, friends, difficult, consider, b, 2015, "
347,What do people most often criticize about you?,"I am not very social, which i hear a lot of times from my friends.
I am introvert so i avoid going into social gatherings. I have been criticised for this many times.","often criticize, people, ","avoid going, social gatherings, many times, times, social, lot, introvert, hear, friends, criticised, "
348,Who has inspired you in your life and why?,"My inspiration for life are my parents, my teachers and a lot of famous personalities like APJ Abdul Kalam, Arnold Schwarztneger, Roger Feder. My parents are my greatest inspiration they taught me how to lead a beautiful life. My teachers fascinated me with knowledge which made me curious and ask question about everything. Especially my plus two teachers who motivated me towards studies. Unlike person I meet in person there are people like Federer whose passion and consistencty and hard work motivated me a lot. And his fighting spirit during failure helped me over come my bad times.","life, inspired, ","famous personalities like apj abdul kalam, people like federer whose passion, plus two teachers, hard work motivated, towards studies, teachers fascinated, roger feder, fighting spirit, failure helped, bad times, ask question, arnold schwarztneger, unlike person, greatest inspiration, beautiful life, teachers, motivated, person, life, inspiration, taught, parents, meet, made, lot, lead, knowledge, everything, especially, curious, consistencty, come, "
349,How will you perform under pressure? Will it affect your performance?,"I am used to working under pressure after joining in IIIT B. Before IIIT B, pressure kind of gave me tension which automatically switched off my brain. Now i am used to it. Pressure happens if one don't work everyday, and keeping everything to the last. I am not doing that anymore, I started working early and trying to finish my work few days before deadline which is kind of helping me to be away from pressure.","pressure, performance, perform, affect, ","started working early, keeping everything, iiit b, automatically switched, pressure happens, work everyday, pressure kind, working, pressure, work, kind, used, trying, tension, one, last, joining, helping, gave, finish, deadline, days, brain, away, anymore, "
350,In what ways are you an organised or disorganised person?,"I would consider or rather i would prefer an organised lifestyle. I keep my things clean and in proper organised place, which helps me in finding my things easily. I also plan my week using a weekly planner and try my best to achieve my weekly goals by following it. these are two examples to say that i am an organised person.

But life is not sunshine and rainbows as Sylvester Stallone says! I do procrastinate sometimes, go off the schedule and relax more. There are days where i missed my breakfast and slept for nearly 10 hours, which could be a possible example to say that i am a disorganised person sometimes.

Overall, i will consider myself as an organised person!!","disorganised person, ways, organised, ","sylvester stallone says, nearly 10 hours, proper organised place, disorganised person sometimes, organised person, procrastinate sometimes, organised lifestyle, would prefer, weekly planner, weekly goals, week using, two examples, things easily, things clean, possible example, also plan, would consider, consider, try, sunshine, slept, schedule, say, relax, rather, rainbows, overall, missed, life, keep, helps, go, following, finding, days, could, breakfast, best, achieve, "
351,How much do you value time at work?,I enjoy work as much as other things I like. I would like to spend quality time at work and have no regrets on those spent moments. Its a part of my life,"value time, work, much, ","spend quality time, spent moments, would like, enjoy work, work, like, things, regrets, part, much, life, "
352,What are your views about further studies?,"Further studies and staying in academics is what I always wanted. Academics always helps us to keep alive the child in us who has to learn, relearn and in the process may discover something that will have a standing impression on society and mankind. Further studies is what I would term as a synonym for research'.'","views, studies, ","process may discover something, academics always helps us, always wanted, would term, standing impression, research '.', keep alive, us, academics, synonym, studies, staying, society, relearn, mankind, learn, child, "
353,Describe a time when your workload was heavy and how you handled it.,It was in the Jan 2017. When I was doing my internship and also the course work with many ongoing projects and also my own projects. At that time it was very hectic for me but finally managed it by deciding my priorities and finally I quit my internship.,"workload, time, heavy, handled, describe, ","many ongoing projects, jan 2017, course work, finally managed, projects, finally, time, quit, priorities, internship, hectic, deciding, also, "
354,What are your outside interests?,I like to explore mythology in the country. I like workouts and exploring different cuisines. I like solving different problems in math and science. I like exploring astronomy.,"outside interests, ","like solving different problems, exploring different cuisines, like exploring astronomy, like workouts, explore mythology, like, science, math, country, "
355,How would you be an asset to this organisation?  ,I have a great interest in coding and machine learning and i wanted to do some research in Machine Learning so there is a lot of chance for me to join your organisation and hope we can achieve something big.So in this way i think i can be an asset to this organistion.,"would, organisation, asset, ","achieve something big, machine learning, great interest, way, wanted, think, research, organistion, organisation, lot, join, hope, coding, chance, asset, "
356,How would you be an asset to this organisation?  ,I have a great interest in coding and machine learning and i wanted to do some research in Machine Learning so there is a lot of chance for me to join your organisation and hope we can achieve something big.So in this way i think i can be an asset to this organistion.,"would, organisation, asset, ","achieve something big, machine learning, great interest, way, wanted, think, research, organistion, organisation, lot, join, hope, coding, chance, asset, "
357,Describe a time when your workload was heavy and how you handled it.,"The workload during my Second Semester and Summer Vacations 2016 was pretty much heavy. However, I like to be busy nowadays. So I do not think a workload is a pressure, but the means to go forward and learn new things. However, we need to manage the workload due to a daily routine. Time management is the necessary step here. And also, I have this tendency to finish up the work of my interest quickly so as to not mess up the work and team progress.","workload, time, heavy, handled, describe, ","summer vacations 2016, pretty much heavy, learn new things, time management, team progress, second semester, necessary step, interest quickly, go forward, daily routine, busy nowadays, workload due, workload, work, think, tendency, pressure, need, mess, means, manage, like, however, finish, also, "
358,What is the biggest challenge you have faced so far?,The biggest challenge would have to be making my project members agree to a certain thing when we are modelling our problem in a certain way and each one wants to do it in their own way. But what I try to do is show them some results and get going in that direction.,"biggest challenge, far, faced, ","project members agree, biggest challenge would, one wants, get going, certain thing, certain way, way, try, show, results, problem, modelling, making, direction, "
359, Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.","meet, handled, goal, give, example, ","gave us 2, one project module, timely delivery, project lead, performance part, project, part, woking, way, training, time, selected, optimization, infosys, impressed, important, head, going, focused, explained, discussed, demo, deliver, days, day, application, able, "
360,What is the biggest challenge you have faced so far?,The biggest challenge I have faced so far is to not worry about things I can't change/ do anything about.,"biggest challenge, far, faced, ","biggest challenge, worry, things, far, faced, change, anything, "
361,Describe a situation in which you had to arrive at a compromise or help others to compromise. What was your role? What steps did you take? What was the result?,"Sometimes I compromise if some elder person or the person whom I respect wants something on which I don't agree.
For example, my grandparents love and they didn't want me to go out of the country for higher studies, so I am doing my masters from India only.I tried convincing them but it was all in vain.In the end the result is that we both are happy. ","help others, take, steps, situation, role, result, describe, compromise, arrive, ","respect wants something, tried convincing, higher studies, grandparents love, elder person, person, want, vain, sometimes, result, masters, india, happy, go, example, end, country, compromise, agree, "
362,Where do you see yourself five years from now?,"I see my self as a happy well settled man with a good job in the IT sector , with a family and a car and house of my own.","five years, see, ","happy well settled man, good job, self, see, sector, house, family, car, "
363,Do you regret any decision in your life?,I only regret my decision of having a bad company during the (second) most crucial phase of my life - the competitive exams preparation and also always looking for some external motivation when none was required. I actually developed a habit of procrastination which I would regret my entire life. My performing at less than 10% of my actual capabilites is the just consequence of that. ,"regret, life, decision, ","competitive exams preparation, also always looking, external motivation, crucial phase, bad company, actually developed, actual capabilites, would regret, entire life, regret, life, second, required, procrastination, performing, none, less, habit, decision, consequence, 10, "
364,Give an example of how you worked in team.,"I once worked in a team of 5 individuals. 2 of them(including myself) are interested in working on the technicalities of the project while others are not. Hence, we divided the project work among ourselves depending on our interests. 2 of us worked on the technicalities of the project, one on implementation of those technicalities and while rest two of them helped in documentation of the project. But each time we ensured that we discuss with each other about our work during our meetings in order to ensure that everything is going in a right manner.","worked, team, give, example, ","project work among, right manner, rest two, 5 individuals, us worked, work, project, worked, working, time, technicalities, team, others, order, one, meetings, interests, interested, including, implementation, hence, helped, going, everything, ensured, ensure, documentation, divided, discuss, depending, 2, "
365,"Have you worked with someone unprofessional, how did you handle it?",I am a fresher so till now I have no idea of how things go on in a corporate world. That's why I can't answer this question very well.,"someone unprofessional, worked, handle, ","things go, corporate world, well, till, question, idea, fresher, answer, "
366,How would you be an asset to this organisation?  ,I have experience with following the ethics of large scale organisations like yours and in terms of adjustment I would have no problem. I am also a dynamic person who can learn anytime and display perfection in it. I am also a hard working person who has a lot of patience which I think is a extra ordinary combination. I am also a self motivator so I always a fuel of motivation to do any work. I have also worked with world class professionals and have learnt new things which can help my fellow collegues. All these would make me a great asset to your organisation.,"would, organisation, asset, ","large scale organisations like, world class professionals, learnt new things, extra ordinary combination, hard working person, dynamic person, self motivator, learn anytime, great asset, fellow collegues, display perfection, would make, also worked, would, also, work, think, terms, problem, patience, organisation, motivation, lot, help, fuel, following, experience, ethics, always, adjustment, "
367,Tell me about a time you took the lead in a team project. What was the project outcome?,"I have work experience of only 2 years. So, I didn't get a chance to lead a team. But, I was given two freshers when i am just a one year senior to me. My Team lead was confident that i can train them to work in project well and so she gave the job to lead them. I gave my best to teach them stuff and everything is going well. Once i assigned a work to them and asked them to finish it by themselves, they messed up badly. Then our team lead came to the rescue and helped us out. That was the moment i realized the qualities needed for Team lead and started learning from everyone possible on how to become a good leader.","team project, project outcome, took, time, tell, lead, ","one year senior, given two freshers, team lead came, team lead, started learning, qualities needed, project well, helped us, good leader, going well, everyone possible, 2 years, work experience, team, lead, work, train, teach, stuff, rescue, realized, moment, messed, job, get, gave, finish, everything, confident, chance, best, become, badly, assigned, asked, "
368,Do you consider yourself successful? Why?,Partially. Have a lot of things that I haven't achieved yet.,"successful, consider, ","achieved yet, things, partially, lot, "
369, Give an example of a goal you did not meet and how you handled it.,"We have one project module as a part of Training while i was woking with infosys. I was selected as a project lead for that project. I was not able to deliver that project on time because I was more focused on the optimization and performance part of the application. On the day of Demo of the project, I discussed with the head and explained her why I was not able to deliver it. She was impressed with the way we were going but explained me that timely delivery is more important. She gave us 2 more days and during that we were able to deliver the project.","meet, handled, goal, give, example, ","gave us 2, one project module, timely delivery, project lead, performance part, project, part, woking, way, training, time, selected, optimization, infosys, impressed, important, head, going, focused, explained, discussed, demo, deliver, days, day, application, able, "
370,Do you consider yourself lucky?,I believe in the adage 'luck favours the brave'. You should be brave enough to make your own choices whilst knowing their consequences and brave enough to remain standing firm when the consequences of your choice come to hit you. ,"lucky, consider, ","remain standing firm, choices whilst knowing, luck favours, choice come, brave enough, brave '., make, hit, consequences, believe, adage, "
371,How do you feel about working under a person who is younger to you?,"A great person once said, the only true knowledge is the knowledge that you know nothing. To achieve greatness, we sometimes need to start over. We need to learn to let go of our ego and focus on our goals. When the mind is focused on the end goal, everything else becomes secondary. Working under someone younger would be a refreshing experience. We get to learn that age and wisdom need not always be in sync and that greatness comes from talent and effort. It is an experience of a lifetime that we should all experience, an experience that is exhilarating and humbling at the same time.","younger, working, person, feel, ","everything else becomes secondary, someone younger would, let go, know nothing, greatness comes, great person, end goal, achieve greatness, wisdom need, sometimes need, true knowledge, refreshing experience, need, knowledge, experience, working, time, talent, sync, start, said, mind, lifetime, learn, humbling, goals, get, focused, focus, exhilarating, ego, effort, always, age, "
372,Why should you be hired from outside when someone could be promoted within the same organisation?,I am applying as a fresher. So I don't think there is anyone with the same skill set who is below me in the organization.,"someone could, promoted within, outside, organisation, hired, ","skill set, think, organization, fresher, applying, anyone, "
373,What was the toughest decision you ever had to make?  ,My toughest decision was to choose a college after my board exams.,"toughest decision, make, ever, ","toughest decision, board exams, college, choose, "
374,Describe a decision you made that was a failure. What happened and why?,"In my First year at IIIT- Bangalore, we had a course called Introduction to Profession. As part of this course we had a project which was to be done by a group of 4 students. The team was randomly chosen and I did not know much about my teammates. When we met to work on our project, we decided that it made sense to divide the work amongst ourselves, in order to prevent repetitions. So we charted our future plan as to how we wanted to proceed with the project and each of us chose an area which we were most excited about without any problems. As promised I did my part of the work as per plan, but sadly some team mated did not meet the deadlines. However they also did not communicate this with the other team mates till the end. During the regular progress check meetings that we had, we just orally assured the others that everything was going fine  and even if it was not for some team mates they said that everything was under control and I did not bother to cross check. I think this is a mistake on my part. When the time had come to integrate everyone's work, it became clear that one of our team mate did not generate much progress due to which our project on the whole could not be completed. The mistake I have made here is to not verify and check the progress made periodically and just believed the oral assurances. also since I was a in my first year I did not know about my team mates and how knowledgable and trust-worthy they are. At the end, the other team mates worked extra time to compensate for the incomplete work and we could finally complete our project on time.","made, happened, failure, describe, decision, ","team mates worked extra time, generate much progress due, regular progress check meetings, team mates till, progress made periodically, could finally complete, course called introduction, team mates, whole could, team mated, team mate, know much, cross check, us chose, randomly chosen, prevent repetitions, per plan, orally assured, oral assurances, made sense, integrate everyone, going fine, future plan, first year, became clear, 4 students, work amongst, incomplete work, also since, time, team, check, made, course, work, know, also, worthy, without, wanted, verify, trust, think, teammates, said, sadly, promised, project, profession, proceed, problems, part, others, order, one, mistake, met, meet, knowledgable, iiit, however, group, excited, everything, even, end, done, divide, decided, deadlines, control, completed, compensate, communicate, come, charted, bother, believed, bangalore, area, "
375,Have you ever had to sell an idea to your co-workers? How did you do it?,"The biggest problem with our species is that rationality takes a back seat when emotions come into the picture. Emotions, I'd say, are our greatest strength and weakness. The thing that binds us together and makes us empathetic, is the same thing that makes us gullible and drives us to make irrational decisions. 
Back in the my undergraduate days, we had to raise funds for our college tech fest. It was decided that we would go from shop to shop in one of the busiest lanes of the commercial street to amass money for our technical fest. We soon found that people were neither motivated nor inclined to donate money for our cause. It was a tough and necessary realisation. We went back to our drawing boards. We had to come up with a plan. We had to identify with the people, connect with them, conjure up in their minds ideas and images that would aid our cause. School, education and children. These words conjured up old forgotten memories in the young guys and thoughts of grandchildren in the old men(They were our target demographic. The typical shop-owner, between the age of 35 - 60). And that is when the appeal of emotions struck us. As part of the events that were planned, we included a state level quiz for school students. This would later turn out to be our silver bullet. 
From then on out, we approached prospective benefactors not with a view to support our tech fest, but with a plea to help us host the state level Quiz, which in turn was part of the whole fest. The response was beyond what we had expected. People were more than willing to donate and even sponsor the event and the tech fest when we talked about school children and education. 
Appeals to emotion seldom go unanswered. ","workers, sell, idea, ever, co, ","emotion seldom go unanswered, state level quiz, make irrational decisions, approached prospective benefactors, makes us gullible, makes us empathetic, help us host, binds us together, old forgotten memories, emotions struck us, college tech fest, would later turn, would go, drives us, tech fest, old men, would aid, whole fest, technical fest, young guys, words conjured, undergraduate days, target demographic, soon found, silver bullet, rationality takes, raise funds, neither motivated, necessary realisation, minds ideas, greatest strength, even sponsor, drawing boards, commercial street, busiest lanes, biggest problem, amass money, 60 )., went back, school students, back seat, typical shop, emotions come, donate money, school children, turn, emotions, school, back, shop, donate, come, children, willing, weakness, view, tough, thoughts, thing, talked, support, species, say, response, plea, planned, plan, picture, people, part, owner, one, included, inclined, images, identify, grandchildren, expected, events, event, education, decided, connect, conjure, cause, beyond, appeals, appeal, age, 35, "
376,"Have you worked with someone unprofessional, how did you handle it?","Not sure, if I can call it unprofessional, but my team 'sanskriti' the team of cultural Committee of the college and my other team -'Sahyog' the team of Mentorship Club of the college was a bit unprofessional. Handling such a team was a little tough as it use to happen many times that we have a meeting and then we come to a conclusion and the tasks are allotted to the juniors with some deadline dates. but they are not finished by that time, and many time, youhave to come forward, and either make it done by other set of juniors or sometimes do it by your own.","someone unprofessional, worked, handle, ","happen many times, team -' sahyog, mentorship club, many time, little tough, either make, deadline dates, cultural committee, come forward, bit unprofessional, team, unprofessional, time, come, youhave, use, tasks, sure, sometimes, set, sanskriti, meeting, juniors, handling, finished, done, conclusion, college, call, allotted, "
377,How much do you value time at work?,"Time is very valuable and I have learned it the hard way. Concentration, speed and continuity along with timely execution of plans are essential to success.","value time, work, much, ","timely execution, hard way, continuity along, valuable, time, success, speed, plans, learned, essential, concentration, "
378,Why shouldn't I hire you?,I am very good working alone but sometimes not so good working in teams. But i am trying to pick that up. My 2 yr work experience has taught me a lot.,"hire, ","2 yr work experience, good working alone, good working, trying, teams, taught, sometimes, pick, lot, "
379,What strategies would you use to motivate your team?,"When working in a team I would generally divide the question into parts and will try to know different approaches for finding a solution or an approach to find a solution by asking other members to know and research on each part. After that, I will ask people for inputs on each part of the question and discuss various ideas provided by them and would go for the best possible solution. I would then join all the parts together with my team such that nothing is left out and getting the solution to the given problem.","strategies would, use, team, motivate, ","discuss various ideas provided, would generally divide, know different approaches, best possible solution, would go, given problem, ask people, parts together, would, solution, know, parts, working, try, team, research, question, part, nothing, members, left, join, inputs, getting, finding, find, asking, approach, "
380,Describe a time when your workload was heavy and how you handled it.,"The workload during my Second Semester and Summer Vacations 2016 was pretty much heavy. However, I like to be busy nowadays. So I do not think a workload is a pressure, but the means to go forward and learn new things. However, we need to manage the workload due to a daily routine. Time management is the necessary step here. And also, I have this tendency to finish up the work of my interest quickly so as to not mess up the work and team progress.","workload, time, heavy, handled, describe, ","summer vacations 2016, pretty much heavy, learn new things, time management, team progress, second semester, necessary step, interest quickly, go forward, daily routine, busy nowadays, workload due, workload, work, think, tendency, pressure, need, mess, means, manage, like, however, finish, also, "
381,What are your views about further studies?,"I am pursuing M.Tech. I opted for this because I felt the need to fill in the technical gaps, to understand how an Industry works and what Industry expects from graduated like myself. As now I feel my requirements are met. I don't have any motivation for studying further, as of now. In future, may be.","views, studies, ","technical gaps, industry works, industry expects, graduated like, understand, tech, studying, requirements, pursuing, opted, need, motivation, met, may, future, fill, felt, feel, "
382,Explain how would you be an asset to this organisation?,I would be an asset as I will put in my best effort. I will do the share of work allocated to me efficiently. I will try to create a friendly environment within the organization.  ,"would, organisation, explain, asset, ","friendly environment within, work allocated, best effort, would, try, share, put, organization, efficiently, create, asset, "
383,Give an example of a time you went well out of your way to ensure a project was completed or a customer received the best possible service from you.,"The last project I did was to implement a IP asset management portal for my Institute. During the course of our project, we had to deal with a lot of changes from the customer side. Some of the request required the complete redesign of the software architecture. But our team was able to incorporate all of the changes, with a lot of hard work and a lot of sleepless nights","best possible service, went well, customer received, way, time, project, give, example, ensure, completed, ","ip asset management portal, software architecture, sleepless nights, request required, hard work, customer side, complete redesign, last project, project, team, lot, institute, incorporate, implement, deal, course, changes, able, "
384,What do people most often criticize about you?,"Well, most people often criticize me that I go overboard if I feel something is wrong. Also I am not good at keeping secrets and might sometimes comment without thinking. but they fail to understand that I do so because it comes straight from my heart and never hide anything. They often tell me to have some faith and self confidence as I have a lot of stage fear and that I am afraid of responsibilities but with the same hardwork and command can be a good leader.","often criticize, people, ","might sometimes comment without thinking, never hide anything, people often criticize, often tell, stage fear, self confidence, keeping secrets, go overboard, feel something, comes straight, good leader, good, wrong, well, understand, responsibilities, lot, heart, hardwork, faith, fail, command, also, afraid, "
385,What are your views about further studies?,I am not interested in further studies. I like doing projects and therefore i like to do a job. I have done Masters so i know how to tackle problems. I would like to work in the industry rather than going for further studies.,"views, studies, ","tackle problems, industry rather, done masters, would like, like, work, therefore, studies, projects, know, job, interested, going, "
386,What do people most often criticize about you?,"People often criticize me about my presence of mind and humor. I guess these two will make our day to day work much easier and better. People also trust me for the challenges I take to complete the assigned work. I was my teams favorite when I used to work in my previous company, you can refer to my linkedIn recommendations as proof of concept :). ","often criticize, people, ","day work much easier, people often criticize, people also trust, assigned work, teams favorite, previous company, linkedin recommendations, concept :)., day, work, used, two, take, refer, proof, presence, mind, make, humor, guess, complete, challenges, better, "
